Category,Message
Housing Inspection Services,"Date last observed: 05-jul-20;    time last observed: 9pm;    identity of person performing the work: landlord has sprayfoamed rat h;    floor: ground;    unit: in law uni;    exact location: in-law unit;    building type: residence/dwelling   insects/rodents; hazardous appliance; other electrical; ;    additional information: rodents in main house, back yard in-law unit, patio, and refuse area. rodents can be heard chewing in the walls and ceiling at night. reported rodent issue to landlord in december 2019. some holes have been plugged with spray foam and chunks of rat poison have been placed throughout the property, but access points inside still remain unpatched/repaired and refuse bin has holes gnawed through them providing a constant food source. ;"
Inspection Services,Replaced garage door without a permit.
Disabled Access Division,Disabled access violation.
Department of Bldg Inspection,Dry-rotted window in the living room.
Prepaid card,Fraud or scam
Housing Inspection Services,Bathroom ceiling fell in.  landlord  says he can't do anything until spring.  tenant wants to make sure of   his safety.. electrical problem  etc..
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 108509 , serial no c08 202331"
Other financial service,Advertising and marketing
Housing Inspection Services,Follow uo on amnesty case  revised nov issued
Consumer Loan,Problems when you are unable to pay
Mortgage,"Loan servicing, payments, escrow account"
Prepaid card,Adding money
Mortgage,"Loan modification,collection,foreclosure"
Mortgage,"Loan modification,collection,foreclosure"
Consumer Loan,Managing the loan or lease
Money transfers,Other transaction issues
Other financial service,Fraud or scam
Housing Inspection Services,Two cottages in back being used as illegal units.
Credit reporting,Incorrect information on credit report
Payday loan,Charged fees or interest I didn't expect
Payday loan,Charged fees or interest I didn't expect
Electrical Inspection Division,"Doing electrical, carpentry, and painting work without permits.  person who is doing work doesn't have a license and didn't pay business tax."
Money transfers,Money was not available when promised
Debt collection,Cont'd attempts collect debt not owed
Other financial service,Customer service/Customer relations
Payday loan,Charged fees or interest I didn't expect
Housing Inspection Services,Routine inspection
Debt collection,Disclosure verification of debt
Other financial service,Fraud or scam
Disabled Access Division,Aisles too narrow - 3rd floor books - near circular conc. columns - cafe counter too high. see letter dated 12-23-99
Credit card,Other
Code Enforcement Section,Vacant building
Bank account or service,"Account opening, closing, or management"
Bank account or service,Problems caused by my funds being low
Payday loan,Received a loan I didn't apply for
Building Inspection Division,Chainsaw sound coming from under the unit until late (311 sr 12039900)
Department of Bldg Inspection,"No heat; water leaks from bathroom and kitchen faucets; carpets in apt. and in bldg. hallway are filthy and smelly and unsafe, have holes in them; lights in hallways do not come on until late, 9:00 pm or so."
Debt collection,Disclosure verification of debt
Debt collection,False statements or representation
Credit reporting,Credit reporting company's investigation
Other financial service,Fraud or scam
Credit reporting,Incorrect information on credit report
Housing Inspection Services,Leaking roof and radiator valve
Prepaid card,"Managing, opening, or closing account"
Other financial service,Customer service/Customer relations
Prepaid card,Fees
Consumer Loan,Managing the loan or lease
Disabled Access Division,No handicap parking.
Prepaid card,Unauthorized transactions/trans. issues
Debt collection,Cont'd attempts collect debt not owed
Bank account or service,"Making/receiving payments, sending money"
Electrical Inspection Division,Work without permit.
Disabled Access Division,Aisles too narrow. see attached letter dated 12-20-99 and fax dated 12-29-99.
Prepaid card,Fraud or scam
Disabled Access Division,Aisles too narrow. entry/exit door too narrow due to theft defection device. hazardous turnstile installed. pls. see attached letter dated 12-14-99 and video
Payday loan,Charged fees or interest I didn't expect
Department of Bldg Inspection,"Water damage-holes in livingroom ceiling, paint chipping; same in bedroom; front door of building has inadequate lock, sits loose in casing; water from skylight leaks into hallway."
Credit card,Customer service / Customer relations
Other financial service,Fraud or scam
Other financial service,Lost or stolen money order
Electrical Inspection Division,"Hazardous wiring, illegal wiring."
Mortgage,"Loan modification,collection,foreclosure"
Electrical Inspection Division,No access to overcurrent devices in the basement.
Department of Bldg Inspection,Owner rented out recreation room of office use at the ground floor behind the garage.
Student loan,Repaying your loan
Payday loan,Charged fees or interest I didn't expect
Building Inspection Division,Date last observed: 25-nov-19;    floor: ground flo;    unit: bar;    exact location: main bldg;    building type: commercial/business   fire safety/fire escape; plumbing leak; plumbing installation without permit; work w/o permit; ;    additional information: they put in a new bathroom & tons of other work without a permit;
Student loan,Can't repay my loan
Money transfers,Fraud or scam
Inspection Services,"3640 26th st has construction noise before 7am and after 8pm today. (311 sr#11914181)	i live next door to 3640 26th st. this morning, hammering could be heard before 7am. this evening, after 8pm, a buzzsaw was being used in the garage and i could hear it from my apartment. this is unacceptable after hours construction noise.

same 311 complaint as: #11914181 (submitted with more detail here) (311 sr#11914215)"
Mortgage,"Loan servicing, payments, escrow account"
